,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,3445,78.49657440185547,729579.3011856079
1,2020-01-31,BUY,AMZN,7799,93.53399658203125,107.6618423461914
2,2020-02-26,SELL,AAPL,3445,69.98784637451172,241215.79260253906
3,2020-02-28,SELL,AMZN,7205,94.21499633789062,920034.841217041
4,2020-02-28,BUY,AAPL,13845,66.4505386352539,27.133811950683594
5,2020-03-13,SELL,AMZN,594,83.83049774169922,49822.44947052002
6,2020-03-17,SELL,AAPL,13845,58.84391403198242,864516.4392433167
7,2020-03-31,BUY,AAPL,4087,61.905033111572266,611510.5689163208
8,2020-03-31,BUY,AMZN,6227,98.19750213623047,34.723114013671875
9,2020-04-30,SELL,AMZN,3326,118.635498046875,394616.3896179199
10,2020-04-30,BUY,AAPL,5645,69.9028091430664,15.032005310058594
11,2020-05-29,SELL,AMZN,1521,120.05500030517578,182618.68746948242
12,2020-05-29,BUY,AAPL,2355,77.52680206298828,43.06861114501953
13,2020-06-30,SELL,AMZN,1380,134.0189971923828,184989.2847366333
14,2020-06-30,BUY,AAPL,2099,88.130859375,2.6109085083007812
15,2020-12-31,SELL,AAPL,1969,130.7587432861328,257466.5764389038
16,2020-12-31,BUY,MSFT,1201,214.27989196777344,116.42618560791016
17,2021-01-29,SELL,AAPL,9575,134.0541229248047,1283684.6531906128
18,2021-01-29,BUY,MSFT,5558,230.95407104492188,41.92632293701172
19,2021-02-26,SELL,MSFT,5755,221.85569763183594,1276821.4661941528
20,2021-02-26,BUY,AAPL,4954,118.48747253417969,689834.5272598267
21,2021-02-26,BUY,AMZN,4512,152.85800170898438,139.22354888916016
22,2021-03-31,SELL,AAPL,7595,117.42000579833984,891944.1675872803
23,2021-03-31,BUY,AMZN,5789,152.76449584960938,7590.501113891602
24,2021-03-31,BUY,MSFT,33,224.62657165527344,177.82424926757812
25,2021-04-30,SELL,AAPL,1,130.71914672851562,308.54339599609375
26,2021-04-30,SELL,MSFT,1036,244.64285278320312,253758.53887939453
27,2021-04-30,BUY,AMZN,1462,173.5655059814453,5.769134521484375
